Time(s),Crosshead(mm),Load(kN),Extensometer(mm/mm),Stress(MPa)
248.4,20.4204,9.417,0.17495,741.328
248.5,20.4371,9.417,0.17491,741.367
248.6,20.4537,9.417,0.17490,741.349
248.7,20.4704,9.419,0.17493,741.534
248.8,20.4871,9.419,0.17490,741.511
248.9,20.5040,9.421,0.17491,741.697
249.0,20.5206,9.420,0.17495,741.613
249.1,20.5372,9.421,0.17489,741.642
249.2,20.5539,9.421,0.17494,741.707
249.3,20.5706,9.423,0.17493,741.843
249.4,20.5872,9.423,0.17490,741.818
249.5,20.6039,9.425,0.17494,741.953
249.6,20.6205,9.423,0.17492,741.866
249.7,20.6372,9.425,0.17489,741.986
249.8,20.6539,9.425,0.17496,741.992
249.9,20.6707,9.426,0.17490,742.071
250.0,20.6874,9.427,0.17492,742.115
250.1,20.7040,9.427,0.17495,742.183
250.2,20.7203,9.424,0.17490,741.947
250.3,20.7371,9.429,0.17493,742.277
250.4,20.7540,9.430,0.17493,742.421
250.5,20.7706,9.430,0.17489,742.365
250.6,20.7870,9.429,0.17494,742.302
250.7,20.8038,9.431,0.17491,742.460
250.8,20.8204,9.431,0.17490,742.457
250.9,20.8371,9.432,0.17495,742.579
251.0,20.8537,9.431,0.17491,742.498
251.1,20.8706,9.434,0.17491,742.666
251.2,20.8871,9.434,0.17495,742.675
251.3,20.9040,9.435,0.17490,742.745
251.4,20.9204,9.435,0.17492,742.771
251.5,20.9370,9.435,0.17493,742.769
251.6,20.9537,9.436,0.17489,742.875
251.7,20.9704,9.437,0.17494,742.951
251.8,20.9872,9.438,0.17492,743.027
251.9,21.0038,9.438,0.17490,742.981
252.0,21.0205,9.439,0.17495,743.122
252.1,21.0371,9.438,0.17491,743.032
252.2,21.0537,9.440,0.17491,743.149
252.3,21.0708,9.442,0.17494,743.341
252.4,21.0872,9.440,0.17489,743.203
252.5,21.1036,9.439,0.17493,743.103
252.6,21.1203,9.442,0.17493,743.300
252.7,21.1371,9.442,0.17490,743.330
252.8,21.1537,9.444,0.17495,743.487
252.9,21.1706,9.444,0.17490,743.480
253.0,21.1872,9.444,0.17492,743.466
253.1,21.2039,9.445,0.17494,743.559
253.2,21.2203,9.444,0.17489,743.482
253.3,21.2370,9.445,0.17493,743.560
253.4,21.2538,9.448,0.17492,743.795
253.5,21.2706,9.448,0.17489,743.797
253.6,21.2871,9.447,0.17493,743.717
253.7,21.3035,9.446,0.17493,743.647
253.8,21.3203,9.449,0.17491,743.878
253.9,21.3372,9.451,0.17494,744.037
254.0,21.3539,9.450,0.17491,743.987
254.1,21.3706,9.451,0.17490,744.014
254.2,21.3873,9.451,0.17493,744.072
254.3,21.4042,9.452,0.17491,744.143
254.4,21.4209,9.453,0.17491,744.202
254.5,21.4375,9.453,0.17495,744.177
254.6,21.4534,9.448,0.17490,743.835
254.7,21.4702,9.453,0.17494,744.164
254.8,21.4870,9.455,0.17493,744.320
254.9,21.5040,9.457,0.17490,744.482
255.0,21.5211,9.459,0.17494,744.639
255.1,21.5378,9.457,0.17491,744.516
255.2,21.5537,9.452,0.17490,744.132
255.3,21.5701,9.453,0.17494,744.228
255.4,21.5869,9.457,0.17489,744.521
255.5,21.6039,9.460,0.17493,744.754
255.6,21.6205,9.458,0.17495,744.571
255.7,21.6372,9.459,0.17490,744.687
255.8,21.6538,9.459,0.17494,744.664
255.9,21.6705,9.459,0.17492,744.675
256.0,21.6872,9.461,0.17490,744.801
256.1,21.7041,9.462,0.17494,744.867
256.2,21.7207,9.460,0.17491,744.765
256.3,21.7372,9.461,0.17491,744.824
256.4,21.7538,9.461,0.17495,744.850
256.5,21.7705,9.462,0.17491,744.935
256.6,21.7873,9.464,0.17493,745.071
256.7,21.8040,9.465,0.17495,745.118
256.8,21.8206,9.463,0.17490,744.992
256.9,21.8372,9.465,0.17494,745.143
257.0,21.8539,9.464,0.17491,745.057
257.1,21.8706,9.466,0.17489,745.189
257.2,21.8875,9.467,0.17495,745.328
257.3,21.9041,9.466,0.17490,745.256
257.4,21.9203,9.464,0.17492,745.045
257.5,21.9372,9.468,0.17495,745.346
257.6,21.9541,9.469,0.17491,745.434
257.7,21.9706,9.469,0.17492,745.433
257.8,21.9871,9.467,0.17494,745.295
257.9,22.0038,9.469,0.17489,745.467
258.0,22.0204,9.470,0.17493,745.525
258.1,22.0371,9.470,0.17492,745.525
258.2,22.0538,9.471,0.17490,745.598
258.3,22.0705,9.472,0.17494,745.723
258.4,22.0873,9.472,0.17493,745.705
258.5,22.1040,9.473,0.17491,745.783
258.6,22.1207,9.472,0.17496,745.693
258.7,22.1370,9.471,0.17490,745.611
258.8,22.1538,9.474,0.17492,745.816
258.9,22.1705,9.475,0.17494,745.963
259.0,22.1873,9.475,0.17489,745.952
259.1,22.2037,9.475,0.17492,745.937
259.2,22.2205,9.477,0.17494,746.066
259.3,22.2370,9.475,0.17490,745.919
259.4,22.2536,9.475,0.17494,745.959
259.5,22.2707,9.479,0.17494,746.202
259.6,22.2872,9.478,0.17490,746.155
259.7,22.3039,9.478,0.17494,746.170
259.8,22.3207,9.479,0.17492,746.263
259.9,22.3371,9.478,0.17490,746.180
260.0,22.3538,9.479,0.17493,746.264
260.1,22.3707,9.481,0.17491,746.374
260.2,22.3872,9.482,0.17491,746.495
260.3,22.4038,9.481,0.17495,746.379
260.4,22.4203,9.480,0.17491,746.327
260.5,22.4368,9.481,0.17493,746.418
260.6,22.4539,9.485,0.17494,746.674
260.7,22.4708,9.484,0.17490,746.657
260.8,22.4871,9.483,0.17492,746.525
260.9,22.5036,9.482,0.17494,746.466
261.0,22.5204,9.485,0.17489,746.735
261.1,22.5371,9.485,0.17494,746.745
261.2,22.5538,9.485,0.17492,746.694
261.3,22.5704,9.486,0.17491,746.812
261.4,22.5874,9.489,0.17496,747.022
261.5,22.6042,9.488,0.17491,746.918
261.6,22.6210,9.490,0.17491,747.115
261.7,22.6375,9.487,0.17495,746.857
261.8,22.6536,9.484,0.17488,746.662
261.9,22.6702,9.488,0.17492,746.923
262.0,22.6871,9.490,0.17494,747.140
262.1,22.7040,9.492,0.17489,747.233
262.2,22.7211,9.494,0.17494,747.392
262.3,22.7376,9.491,0.17494,747.165
262.4,22.7538,9.489,0.17491,747.016
262.5,22.7702,9.490,0.17496,747.097
262.6,22.7871,9.493,0.17491,747.313
262.7,22.8038,9.493,0.17491,747.382
262.8,22.8206,9.493,0.17494,747.354
262.9,22.8372,9.493,0.17490,747.343
263.0,22.8538,9.494,0.17492,747.448
263.1,22.8703,9.494,0.17494,747.401
263.2,22.8871,9.495,0.17490,747.497
263.3,22.9039,9.497,0.17495,747.634
263.4,22.9206,9.496,0.17493,747.546
263.5,22.9371,9.496,0.17490,747.553
263.6,22.9538,9.497,0.17499,747.651
263.7,22.9704,9.497,0.17490,747.664
263.8,22.9872,9.498,0.17490,747.733
263.9,23.0038,9.497,0.17497,747.681
264.0,23.0206,9.498,0.17489,747.732
264.1,23.0372,9.499,0.17493,747.838
264.2,23.0540,9.500,0.17494,747.879
264.3,23.0707,9.499,0.17490,747.852
264.4,23.0875,9.501,0.17495,747.952
264.5,23.1040,9.500,0.17492,747.890
264.6,23.1204,9.499,0.17490,747.847
264.7,23.1371,9.502,0.17495,748.015
264.8,23.1540,9.502,0.17491,748.078
264.9,23.1704,9.501,0.17491,748.003
265.0,23.1869,9.502,0.17496,748.051
265.1,23.2037,9.503,0.17490,748.145
265.2,23.2204,9.504,0.17493,748.195
265.3,23.2371,9.504,0.17494,748.211
265.4,23.2539,9.505,0.17490,748.313
265.5,23.2705,9.505,0.17492,748.297
265.6,23.2874,9.506,0.17494,748.373
265.7,23.3040,9.505,0.17489,748.313
265.8,23.3207,9.506,0.17495,748.385
265.9,23.3371,9.505,0.17493,748.272
266.0,23.3536,9.506,0.17491,748.344
266.1,23.3704,9.508,0.17495,748.545
266.2,23.3871,9.508,0.17490,748.505
266.3,23.4035,9.507,0.17492,748.416
266.4,23.4206,9.511,0.17495,748.738
266.5,23.4371,9.508,0.17490,748.554
266.6,23.4539,9.510,0.17493,748.670
266.7,23.4707,9.510,0.17494,748.706
266.8,23.4872,9.509,0.17490,748.625
266.9,23.5038,9.510,0.17494,748.668
267.0,23.5206,9.512,0.17493,748.835
267.1,23.5370,9.510,0.17491,748.701
267.2,23.5538,9.513,0.17494,748.904
267.3,23.5705,9.512,0.17491,748.867
267.4,23.5873,9.514,0.17491,748.973
267.5,23.6039,9.513,0.17494,748.925
267.6,23.6204,9.513,0.17490,748.897
267.7,23.6370,9.513,0.17492,748.935
267.8,23.6539,9.516,0.17495,749.137
267.9,23.6706,9.514,0.17490,748.981
268.0,23.6870,9.514,0.17494,749.018
268.1,23.7035,9.513,0.17494,748.887
268.2,23.7204,9.517,0.17490,749.256
268.3,23.7371,9.517,0.17494,749.244
268.4,23.7538,9.517,0.17491,749.231
268.5,23.7705,9.517,0.17491,749.220
268.6,23.7874,9.519,0.17495,749.406
268.7,23.8040,9.518,0.17491,749.289
268.8,23.8209,9.519,0.17492,749.390
268.9,23.8372,9.516,0.17496,749.167
269.0,23.8535,9.516,0.17490,749.150
269.1,23.8703,9.520,0.17494,749.432
269.2,23.8871,9.520,0.17492,749.491
269.3,23.9041,9.522,0.17490,749.624
269.4,23.9211,9.523,0.17494,749.693
269.5,23.9374,9.519,0.17492,749.362
269.6,23.9535,9.518,0.17491,749.326
269.7,23.9701,9.520,0.17496,749.438
269.8,23.9870,9.522,0.17491,749.602
269.9,24.0037,9.522,0.17493,749.616
270.0,24.0203,9.522,0.17494,749.598
270.1,24.0371,9.522,0.17490,749.597
270.2,24.0537,9.522,0.17493,749.658
270.3,24.0704,9.522,0.17493,749.603
270.4,24.0871,9.524,0.17489,749.767
270.5,24.1039,9.524,0.17495,749.782
270.6,24.1205,9.523,0.17493,749.732
270.7,24.1370,9.523,0.17492,749.686
270.8,24.1537,9.524,0.17495,749.799
270.9,24.1705,9.525,0.17491,749.836
271.0,24.1872,9.525,0.17492,749.867
271.1,24.2038,9.524,0.17494,749.776
271.2,24.2205,9.525,0.17489,749.834
271.3,24.2372,9.526,0.17492,749.933
271.4,24.2539,9.526,0.17493,749.975
271.5,24.2705,9.526,0.17490,749.911
271.6,24.2872,9.527,0.17495,749.989
271.7,24.3038,9.526,0.17493,749.945
271.8,24.3203,9.526,0.17491,749.947
271.9,24.3370,9.528,0.17495,750.106
272.0,24.3539,9.529,0.17491,750.141
272.1,24.3703,9.527,0.17490,750.003
272.2,24.3870,9.528,0.17495,750.071
272.3,24.4036,9.529,0.17490,750.147
272.4,24.4204,9.529,0.17493,750.214
272.5,24.4371,9.530,0.17495,750.292
272.6,24.4540,9.530,0.17491,750.278
272.7,24.4705,9.530,0.17493,750.249
272.8,24.4873,9.531,0.17494,750.337
272.9,24.5039,9.530,0.17489,750.229
273.0,24.5204,9.530,0.17493,750.283
273.1,24.5370,9.530,0.17492,750.251
273.2,24.5537,9.531,0.17491,750.366
273.3,24.5706,9.533,0.17494,750.495
273.4,24.5872,9.532,0.17493,750.388
273.5,24.6037,9.531,0.17492,750.313
273.6,24.6204,9.533,0.17495,750.489
273.7,24.6371,9.533,0.17491,750.473
273.8,24.6539,9.534,0.17491,750.590
273.9,24.6706,9.533,0.17494,750.529
274.0,24.6871,9.532,0.17490,750.442
274.1,24.7038,9.534,0.17492,750.546
274.2,24.7206,9.535,0.17494,750.628
274.3,24.7372,9.535,0.17490,750.627
274.4,24.7539,9.536,0.17495,750.754
274.5,24.7707,9.535,0.17493,750.661
274.6,24.7872,9.535,0.17490,750.637
274.7,24.8038,9.535,0.17495,750.648
274.8,24.8203,9.535,0.17490,750.645
274.9,24.8371,9.536,0.17491,750.750
275.0,24.8540,9.538,0.17494,750.853
275.1,24.8707,9.537,0.17491,750.819
275.2,24.8870,9.536,0.17493,750.702
275.3,24.9035,9.535,0.17495,750.672
275.4,24.9204,9.538,0.17491,750.899
275.5,24.9371,9.538,0.17495,750.902
275.6,24.9538,9.537,0.17492,750.786
275.7,24.9705,9.538,0.17490,750.858
275.8,24.9873,9.539,0.17495,750.971
275.9,25.0042,9.539,0.17491,750.954
276.0,25.0208,9.539,0.17492,750.947
276.1,25.0371,9.536,0.17495,750.744
276.2,25.0535,9.537,0.17489,750.825
276.3,25.0703,9.539,0.17496,750.978
276.4,25.0871,9.541,0.17493,751.092
276.5,25.1042,9.542,0.17489,751.171
276.6,25.1211,9.543,0.17495,751.243
276.7,25.1372,9.537,0.17491,750.794
276.8,25.1534,9.538,0.17490,750.863
276.9,25.1702,9.540,0.17496,751.071
277.0,25.1871,9.543,0.17490,751.252
277.1,25.2037,9.541,0.17495,751.147
277.2,25.2203,9.541,0.17495,751.154
277.3,25.2370,9.541,0.17490,751.130
277.4,25.2536,9.541,0.17495,751.148
277.5,25.2703,9.541,0.17491,751.145
277.6,25.2871,9.543,0.17490,751.289
277.7,25.3039,9.542,0.17496,751.235
277.8,25.3205,9.542,0.17489,751.174
277.9,25.3370,9.541,0.17494,751.159
278.0,25.3537,9.542,0.17494,751.207
278.1,25.3705,9.543,0.17490,751.265
278.2,25.3871,9.544,0.17495,751.345
278.3,25.4037,9.542,0.17493,751.181
278.4,25.4203,9.543,0.17490,751.287
278.5,25.4371,9.544,0.17496,751.337
278.6,25.4538,9.544,0.17492,751.351
278.7,25.4704,9.544,0.17490,751.366
278.8,25.4872,9.545,0.17496,751.446
278.9,25.5039,9.544,0.17492,751.339
279.0,25.5203,9.544,0.17493,751.387
279.1,25.5371,9.545,0.17495,751.467
279.2,25.5539,9.545,0.17489,751.457
279.3,25.5704,9.545,0.17495,751.400
279.4,25.5870,9.544,0.17492,751.357
279.5,25.6036,9.545,0.17491,751.445
279.6,25.6203,9.546,0.17496,751.500
279.7,25.6371,9.546,0.17491,751.494
279.8,25.6537,9.546,0.17492,751.552
279.9,25.6704,9.546,0.17496,751.549
280.0,25.6873,9.547,0.17491,751.565
280.1,25.7040,9.547,0.17494,751.598
280.2,25.7205,9.546,0.17495,751.488
280.3,25.7371,9.546,0.17490,751.485
280.4,25.7536,9.546,0.17494,751.499
280.5,25.7707,9.549,0.17493,751.780
280.6,25.7871,9.546,0.17490,751.535
280.7,25.8036,9.546,0.17495,751.547
280.8,25.8203,9.546,0.17493,751.530
280.9,25.8370,9.548,0.17491,751.658
281.0,25.8539,9.549,0.17496,751.750
281.1,25.8707,9.548,0.17491,751.705
281.2,25.8871,9.546,0.17492,751.520
281.3,25.9039,9.548,0.17494,751.696
281.4,25.9205,9.547,0.17491,751.580
281.5,25.9371,9.548,0.17491,751.643
281.6,25.9538,9.548,0.17495,751.696
281.7,25.9705,9.548,0.17490,751.700
281.8,25.9871,9.548,0.17493,751.640
281.9,26.0038,9.547,0.17494,751.630
282.0,26.0203,9.547,0.17490,751.605
282.1,26.0372,9.550,0.17494,751.804
282.2,26.0540,9.549,0.17493,751.728
282.3,26.0706,9.548,0.17490,751.696
282.4,26.0869,9.546,0.17495,751.551
282.5,26.1035,9.547,0.17490,751.575
282.6,26.1203,9.549,0.17492,751.763
282.7,26.1372,9.550,0.17496,751.830
282.8,26.1538,9.548,0.17491,751.686
282.9,26.1706,9.550,0.17494,751.802
283.0,26.1873,9.549,0.17494,751.758
283.1,26.2042,9.550,0.17489,751.821
283.2,26.2208,9.549,0.17493,751.734
283.3,26.2369,9.546,0.17493,751.523
283.4,26.2534,9.547,0.17490,751.582
283.5,26.2701,9.550,0.17495,751.819
283.6,26.2870,9.551,0.17492,751.878
283.7,26.3042,9.554,0.17492,752.109
283.8,26.3211,9.552,0.17495,751.966
283.9,26.3372,9.546,0.17492,751.517
284.0,26.3533,9.546,0.17492,751.490
284.1,26.3702,9.550,0.17495,751.827
284.2,26.3870,9.551,0.17490,751.892
284.3,26.4037,9.551,0.17494,751.874
284.4,26.4204,9.550,0.17493,751.853
284.5,26.4371,9.550,0.17491,751.850
284.6,26.4536,9.550,0.17496,751.797
284.7,26.4704,9.551,0.17492,751.894
284.8,26.4872,9.551,0.17492,751.905
284.9,26.5039,9.551,0.17496,751.881
285.0,26.5205,9.550,0.17489,751.806
285.1,26.5371,9.549,0.17494,751.784
285.2,26.5536,9.550,0.17493,751.792
285.3,26.5705,9.551,0.17490,751.880
285.4,26.5871,9.550,0.17495,751.864
285.5,26.6038,9.550,0.17494,751.825
285.6,26.6204,9.550,0.17490,751.802
285.7,26.6372,9.551,0.17497,751.900
285.8,26.6539,9.550,0.17491,751.827
285.9,26.6707,9.550,0.17492,751.857
286.0,26.6873,9.550,0.17496,751.836
286.1,26.7038,9.549,0.17491,751.733
286.2,26.7204,9.549,0.17492,751.761
286.3,26.7373,9.551,0.17495,751.911
286.4,26.7539,9.549,0.17490,751.721
286.5,26.7703,9.548,0.17495,751.651
286.6,26.7869,9.549,0.17494,751.743
286.7,26.8037,9.550,0.17491,751.844
286.8,26.8204,9.550,0.17494,751.813
286.9,26.8372,9.550,0.17493,751.859
287.0,26.8539,9.549,0.17490,751.739
287.1,26.8706,9.550,0.17495,751.799
287.2,26.8874,9.550,0.17492,751.792
287.3,26.9040,9.549,0.17491,751.772
287.4,26.9204,9.547,0.17497,751.588
287.5,26.9370,9.547,0.17492,751.634
287.6,26.9536,9.548,0.17493,751.675
287.7,26.9706,9.550,0.17496,751.801
287.8,26.9871,9.547,0.17489,751.591
287.9,27.0040,9.549,0.17494,751.784
288.0,27.0204,9.547,0.17493,751.559
288.1,27.0371,9.548,0.17489,751.672
288.2,27.0540,9.550,0.17497,751.795
288.3,27.0706,9.547,0.17492,751.622
288.4,27.0871,9.546,0.17493,751.492
288.5,27.1038,9.548,0.17496,751.657
288.6,27.1203,9.546,0.17491,751.550
288.7,27.1371,9.548,0.17493,751.653
288.8,27.1538,9.547,0.17494,751.611
288.9,27.1707,9.547,0.17490,751.607
289.0,27.1871,9.546,0.17495,751.502
289.1,27.2037,9.546,0.17493,751.532
289.2,27.2203,9.545,0.17492,751.448
289.3,27.2372,9.548,0.17495,751.691
289.4,27.2540,9.547,0.17493,751.593
289.5,27.2707,9.546,0.17493,751.501
289.6,27.2869,9.544,0.17496,751.338
289.7,27.3037,9.546,0.17491,751.502
289.8,27.3205,9.547,0.17493,751.565
289.9,27.3372,9.546,0.17494,751.542
290.0,27.3539,9.545,0.17490,751.409
290.1,27.3707,9.546,0.17493,751.519
290.2,27.3873,9.544,0.17495,751.347
290.3,27.4043,9.545,0.17491,751.454
290.4,27.4207,9.543,0.17495,751.292
290.5,27.4367,9.540,0.17494,751.016
290.6,27.4535,9.542,0.17491,751.212
290.7,27.4702,9.544,0.17495,751.339
290.8,27.4871,9.544,0.17491,751.362
290.9,27.5043,9.546,0.17492,751.508
291.0,27.5210,9.544,0.17496,751.334
291.1,27.5371,9.539,0.17490,751.000
291.2,27.5534,9.538,0.17494,750.915
291.3,27.5703,9.542,0.17495,751.199
291.4,27.5871,9.543,0.17491,751.253
291.5,27.6038,9.541,0.17496,751.129
291.6,27.6205,9.541,0.17492,751.157
291.7,27.6371,9.539,0.17491,750.995
291.8,27.6537,9.540,0.17496,751.020
291.9,27.6705,9.540,0.17490,751.051
292.0,27.6872,9.540,0.17492,751.049
292.1,27.7039,9.539,0.17496,750.949
292.2,27.7204,9.538,0.17491,750.916
292.3,27.7371,9.538,0.17494,750.875
292.4,27.7538,9.539,0.17495,750.932
292.5,27.7706,9.538,0.17491,750.898
292.6,27.7871,9.538,0.17494,750.876
292.7,27.8039,9.537,0.17493,750.792
292.8,27.8205,9.536,0.17490,750.723
292.9,27.8373,9.536,0.17496,750.738
293.0,27.8539,9.535,0.17492,750.659
293.1,27.8707,9.536,0.17493,750.722
293.2,27.8873,9.535,0.17496,750.650
293.3,27.9036,9.531,0.17492,750.296
293.4,27.9203,9.533,0.17493,750.469
293.5,27.9373,9.535,0.17495,750.625
293.6,27.9539,9.532,0.17490,750.438
293.7,27.9704,9.531,0.17493,750.328
293.8,27.9871,9.531,0.17494,750.323
293.9,28.0038,9.530,0.17491,750.295
294.0,28.0204,9.530,0.17495,750.252
294.1,28.0371,9.530,0.17495,750.254
294.2,28.0538,9.529,0.17491,750.154
294.3,28.0704,9.529,0.17496,750.184
294.4,28.0872,9.528,0.17493,750.071
294.5,28.1039,9.527,0.17491,750.046
294.6,28.1203,9.525,0.17495,749.855
294.7,28.1371,9.526,0.17491,749.941
294.8,28.1539,9.526,0.17492,749.905
294.9,28.1706,9.525,0.17495,749.853
295.0,28.1870,9.522,0.17492,749.633
295.1,28.2039,9.524,0.17493,749.794
295.2,28.2203,9.520,0.17497,749.502
295.3,28.2370,9.521,0.17491,749.561
295.4,28.2539,9.522,0.17495,749.642
295.5,28.2705,9.519,0.17494,749.423
295.6,28.2871,9.518,0.17490,749.304
295.7,28.3039,9.519,0.17495,749.368
295.8,28.3204,9.516,0.17493,749.127
295.9,28.3371,9.516,0.17491,749.135
296.0,28.3538,9.515,0.17498,749.098
296.1,28.3706,9.515,0.17491,749.050
296.2,28.3871,9.513,0.17494,748.881
296.3,28.4036,9.511,0.17494,748.788
296.4,28.4203,9.510,0.17489,748.713
296.5,28.4371,9.512,0.17495,748.840
296.6,28.4540,9.510,0.17493,748.701
296.7,28.4704,9.506,0.17491,748.391
296.8,28.4868,9.505,0.17497,748.285
296.9,28.5037,9.506,0.17493,748.381
297.0,28.5204,9.505,0.17493,748.257
297.1,28.5370,9.503,0.17497,748.145
297.2,28.5538,9.503,0.17492,748.117
297.3,28.5706,9.502,0.17492,748.083
297.4,28.5875,9.501,0.17496,747.963
297.5,28.6043,9.499,0.17490,747.829
297.6,28.6207,9.496,0.17493,747.591
297.7,28.6368,9.491,0.17495,747.192
297.8,28.6535,9.494,0.17491,747.391
297.9,28.6703,9.493,0.17495,747.348
298.0,28.6874,9.493,0.17494,747.367
298.1,28.7044,9.492,0.17492,747.260
298.2,28.7210,9.487,0.17496,746.910
298.3,28.7371,9.482,0.17491,746.493
298.4,28.7535,9.482,0.17492,746.516
298.5,28.7703,9.484,0.17495,746.603
298.6,28.7871,9.483,0.17490,746.550
298.7,28.8038,9.479,0.17495,746.237
298.8,28.8205,9.477,0.17495,746.123
298.9,28.8371,9.475,0.17492,745.965
299.0,28.8536,9.473,0.17497,745.777
299.1,28.8705,9.472,0.17493,745.711
299.2,28.8873,9.470,0.17492,745.572
299.3,28.9039,9.467,0.17496,745.306
299.4,28.9205,9.465,0.17490,745.136
299.5,28.9371,9.463,0.17494,745.019
299.6,28.9539,9.462,0.17494,744.892
299.7,28.9706,9.459,0.17491,744.691
299.8,28.9872,9.458,0.17496,744.569
299.9,29.0039,9.454,0.17495,744.292
300.0,29.0206,9.452,0.17491,744.141
300.1,29.0372,9.449,0.17497,743.904
300.2,29.0538,9.447,0.17491,743.713
300.3,29.0707,9.446,0.17492,743.611
300.4,29.0875,9.443,0.17495,743.425
300.5,29.1037,9.437,0.17491,742.909
300.6,29.1204,9.437,0.17494,742.918
300.7,29.1373,9.435,0.17496,742.752
300.8,29.1539,9.430,0.17491,742.383
300.9,29.1703,9.427,0.17496,742.120
301.0,29.1869,9.425,0.17493,741.976
301.1,29.2036,9.422,0.17491,741.728
301.2,29.2203,9.420,0.17495,741.618
301.3,29.2371,9.415,0.17492,741.185
301.4,29.2539,9.412,0.17491,740.998
301.5,29.2706,9.409,0.17496,740.710
301.6,29.2874,9.405,0.17492,740.431
301.7,29.3039,9.400,0.17494,740.016
301.8,29.3203,9.396,0.17496,739.679
301.9,29.3369,9.394,0.17491,739.519
302.0,29.3539,9.391,0.17494,739.341
302.1,29.3704,9.386,0.17494,738.891
302.2,29.3870,9.381,0.17490,738.537
302.3,29.4038,9.378,0.17495,738.301
302.4,29.4204,9.373,0.17493,737.862
302.5,29.4371,9.368,0.17492,737.541
302.6,29.4540,9.365,0.17497,737.251
302.7,29.4704,9.358,0.17492,736.697
302.8,29.4872,9.354,0.17493,736.435
302.9,29.5039,9.350,0.17497,736.050
303.0,29.5204,9.343,0.17491,735.541
303.1,29.5371,9.339,0.17494,735.238
303.2,29.5539,9.335,0.17495,734.915
303.3,29.5705,9.329,0.17490,734.401
303.4,29.5871,9.322,0.17495,733.910
303.5,29.6036,9.315,0.17493,733.354
303.6,29.6204,9.311,0.17492,733.041
303.7,29.6371,9.306,0.17497,732.658
303.8,29.6540,9.300,0.17494,732.125
303.9,29.6703,9.291,0.17492,731.448
304.0,29.6868,9.285,0.17496,730.958
304.1,29.7038,9.282,0.17491,730.721
304.2,29.7206,9.274,0.17493,730.072
304.3,29.7371,9.265,0.17495,729.413
304.4,29.7539,9.258,0.17493,728.859
304.5,29.7706,9.251,0.17495,728.306
304.6,29.7875,9.243,0.17496,727.696
304.7,29.8043,9.236,0.17492,727.107
304.8,29.8207,9.226,0.17496,726.328
304.9,29.8370,9.216,0.17492,725.545
305.0,29.8536,9.211,0.17492,725.123
305.1,29.8704,9.202,0.17496,724.451
305.2,29.8875,9.194,0.17492,723.829
305.3,29.9044,9.182,0.17493,722.879
305.4,29.9210,9.169,0.17498,721.864
305.5,29.9371,9.157,0.17491,720.899
305.6,29.9536,9.149,0.17495,720.228
305.7,29.9704,9.141,0.17495,719.597
305.8,29.9872,9.128,0.17490,718.608
305.9,30.0039,9.114,0.17495,717.522
306.0,30.0207,9.101,0.17493,716.459
306.1,30.0371,9.086,0.17491,715.301
306.2,30.0539,9.072,0.17497,714.192
306.3,30.0707,9.056,0.17492,712.911
306.4,30.0875,9.039,0.17494,711.632
306.5,30.1041,9.018,0.17496,709.955
306.6,30.1207,8.999,0.17491,708.432
306.7,30.1372,8.976,0.17495,706.648
306.8,30.1540,8.953,0.17493,704.840
306.9,30.1706,8.924,0.17492,702.539
307.0,30.1872,8.894,0.17495,700.205
307.1,30.2040,8.859,0.17492,697.432
307.2,30.2208,8.821,0.17494,694.445
307.3,30.2375,8.775,0.17497,690.806
307.4,30.2541,8.726,0.17492,686.926
307.5,30.2710,8.670,0.17494,682.531
307.6,30.2877,8.607,0.17496,677.554
307.7,30.3040,8.535,0.17491,671.891
307.8,30.3207,8.455,0.17494,665.637
307.9,30.3376,8.353,0.17496,657.611
308.0,30.3542,8.234,0.17490,648.228
308.1,30.3707,8.081,0.17497,636.158
308.2,30.3876,7.840,0.17493,617.233
308.3,30.3996,-0.393,0.17586,-30.923


