Time(s),Crosshead(mm),Load(kN),Extensometer(mm/mm),Stress(MPa)
16.5,0.2560,1.303,0.00047,113.4
16.6,0.2576,1.307,0.00047,113.8
16.7,0.2592,1.312,0.00047,114.3
16.8,0.2609,1.318,0.00048,114.7
16.9,0.2627,1.323,0.00048,115.2
17.0,0.2643,1.327,0.00048,115.5
17.1,0.2659,1.332,0.00048,115.9
17.2,0.2676,1.337,0.00048,116.4
17.3,0.2693,1.341,0.00049,116.8
17.4,0.2709,1.345,0.00049,117.1
17.5,0.2726,1.350,0.00049,117.6
17.6,0.2744,1.356,0.00049,118.1
17.7,0.2760,1.359,0.00049,118.3
17.8,0.2776,1.364,0.00049,118.7
17.9,0.2793,1.368,0.00050,119.1
18.0,0.2811,1.373,0.00050,119.5
18.1,0.2827,1.377,0.00050,119.9
18.2,0.2843,1.381,0.00050,120.2
18.3,0.2860,1.385,0.00050,120.6
18.4,0.2877,1.390,0.00050,121.0
18.5,0.2893,1.394,0.00051,121.3
18.6,0.2909,1.397,0.00051,121.6
18.7,0.2926,1.402,0.00051,122.1
18.8,0.2943,1.407,0.00051,122.5
18.9,0.2959,1.410,0.00051,122.8
19.0,0.2976,1.414,0.00052,123.1
19.1,0.2993,1.419,0.00052,123.5
19.2,0.3009,1.423,0.00052,123.9
19.3,0.3026,1.427,0.00052,124.2
19.4,0.3043,1.431,0.00052,124.5
19.5,0.3061,1.435,0.00053,124.9
19.6,0.3076,1.438,0.00053,125.2
19.7,0.3093,1.442,0.00053,125.5
19.8,0.3110,1.446,0.00053,125.9
19.9,0.3128,1.450,0.00053,126.2
20.0,0.3144,1.453,0.00053,126.5
20.1,0.3160,1.456,0.00053,126.8
20.2,0.3177,1.461,0.00053,127.2
20.3,0.3195,1.465,0.00053,127.5
20.4,0.3211,1.468,0.00053,127.8
20.5,0.3227,1.471,0.00054,128.0
20.6,0.3245,1.475,0.00053,128.4
20.7,0.3261,1.478,0.00054,128.7
20.8,0.3277,1.481,0.00054,129.0
20.9,0.3294,1.485,0.00054,129.3
21.0,0.3312,1.489,0.00055,129.6
21.1,0.3328,1.492,0.00055,129.9
21.2,0.3344,1.495,0.00054,130.1
21.3,0.3360,1.498,0.00054,130.4
21.4,0.3379,1.503,0.00055,130.8
21.5,0.3395,1.505,0.00054,131.0
21.6,0.3411,1.508,0.00055,131.3
21.7,0.3428,1.512,0.00055,131.7
21.8,0.3445,1.516,0.00055,132.0
21.9,0.3462,1.518,0.00055,132.2
22.0,0.3478,1.521,0.00056,132.5
22.1,0.3496,1.526,0.00056,132.8
22.2,0.3513,1.528,0.00056,133.1
22.3,0.3529,1.531,0.00056,133.3
22.4,0.3545,1.534,0.00056,133.6
22.5,0.3564,1.539,0.00057,134.0
22.6,0.3580,1.541,0.00056,134.1
22.7,0.3596,1.543,0.00057,134.3
22.8,0.3612,1.546,0.00056,134.6
22.9,0.3629,1.550,0.00056,134.9
23.0,0.3645,1.551,0.00057,135.1
23.1,0.3661,1.554,0.00057,135.3
23.2,0.3679,1.557,0.00057,135.6
23.3,0.3696,1.560,0.00057,135.8
23.4,0.3712,1.562,0.00057,136.0
23.5,0.3728,1.565,0.00057,136.2
23.6,0.3745,1.569,0.00057,136.6
23.7,0.3762,1.572,0.00057,136.8
23.8,0.3778,1.574,0.00057,137.0
23.9,0.3794,1.576,0.00057,137.2
24.0,0.3811,1.580,0.00058,137.5
24.1,0.3827,1.582,0.00058,137.7
24.2,0.3843,1.584,0.00058,137.9
24.3,0.3858,1.586,0.00058,138.1
24.4,0.3876,1.590,0.00058,138.5
24.5,0.3892,1.593,0.00058,138.7
24.6,0.3908,1.595,0.00058,138.8
24.7,0.3924,1.597,0.00058,139.0
24.8,0.3941,1.602,0.00058,139.5
24.9,0.3957,1.604,0.00058,139.6
25.0,0.3973,1.606,0.00059,139.8
25.1,0.3990,1.608,0.00059,140.0
25.2,0.4007,1.611,0.00059,140.3
25.3,0.4023,1.613,0.00059,140.4
25.4,0.4040,1.615,0.00059,140.6
25.5,0.4056,1.618,0.00060,140.9
25.6,0.4073,1.620,0.00059,141.1
25.7,0.4090,1.622,0.00059,141.2
25.8,0.4107,1.625,0.00060,141.4
25.9,0.4124,1.628,0.00059,141.7
26.0,0.4141,1.630,0.00060,141.9
26.1,0.4157,1.632,0.00060,142.1
26.2,0.4173,1.634,0.00060,142.2
26.3,0.4191,1.637,0.00060,142.5
26.4,0.4208,1.640,0.00060,142.8
26.5,0.4224,1.642,0.00060,142.9
26.6,0.4240,1.644,0.00060,143.1
26.7,0.4258,1.648,0.00061,143.4
26.8,0.4275,1.650,0.00060,143.6
26.9,0.4291,1.651,0.00061,143.8
27.0,0.4308,1.654,0.00061,144.0
27.1,0.4325,1.658,0.00061,144.3
27.2,0.4341,1.658,0.00061,144.4
27.3,0.4358,1.661,0.00061,144.6
27.4,0.4376,1.664,0.00062,144.9
27.5,0.4393,1.667,0.00062,145.1
27.6,0.4409,1.668,0.00061,145.2
27.7,0.4426,1.670,0.00061,145.4
27.8,0.4444,1.673,0.00062,145.7
27.9,0.4461,1.676,0.00062,145.9
28.0,0.4478,1.678,0.00062,146.1
28.1,0.4494,1.680,0.00062,146.3
28.2,0.4512,1.683,0.00062,146.5
28.3,0.4529,1.685,0.00062,146.7
28.4,0.4545,1.687,0.00062,146.9
28.5,0.4563,1.689,0.00062,147.1
28.6,0.4580,1.693,0.00062,147.3
28.7,0.4596,1.694,0.00062,147.5
28.8,0.4612,1.695,0.00063,147.6
28.9,0.4629,1.698,0.00063,147.8
29.0,0.4647,1.701,0.00062,148.1
29.1,0.4663,1.701,0.00063,148.1
29.2,0.4679,1.703,0.00063,148.3
29.3,0.4696,1.706,0.00063,148.5
29.4,0.4713,1.708,0.00062,148.7
29.5,0.4729,1.709,0.00063,148.8
29.6,0.4745,1.711,0.00063,148.9
29.7,0.4763,1.713,0.00063,149.2
29.8,0.4780,1.715,0.00063,149.3
29.9,0.4795,1.716,0.00063,149.4
30.0,0.4811,1.718,0.00062,149.6
30.1,0.4828,1.721,0.00063,149.8
30.2,0.4844,1.722,0.00063,149.9
30.3,0.4860,1.723,0.00063,150.0
30.4,0.4876,1.725,0.00063,150.2
30.5,0.4893,1.728,0.00063,150.4
30.6,0.4909,1.730,0.00063,150.6
30.7,0.4925,1.731,0.00063,150.7
30.8,0.4941,1.733,0.00064,150.9
30.9,0.4959,1.737,0.00063,151.2
31.0,0.4975,1.739,0.00064,151.4
31.1,0.4990,1.741,0.00064,151.6
31.2,0.5006,1.744,0.00064,151.8
31.3,0.5024,1.748,0.00064,152.2
31.4,0.5040,1.751,0.00064,152.5
31.5,0.5056,1.755,0.00064,152.8
31.6,0.5072,1.758,0.00064,153.1
31.7,0.5090,1.763,0.00065,153.5
31.8,0.5107,1.767,0.00065,153.8
31.9,0.5124,1.772,0.00065,154.3
32.0,0.5141,1.777,0.00065,154.7
32.1,0.5158,1.782,0.00066,155.2
32.2,0.5174,1.786,0.00066,155.5
32.3,0.5191,1.791,0.00066,155.9
32.4,0.5208,1.797,0.00066,156.4
32.5,0.5225,1.802,0.00067,156.8
32.6,0.5241,1.806,0.00067,157.2
32.7,0.5257,1.811,0.00067,157.6
32.8,0.5275,1.817,0.00067,158.2
32.9,0.5291,1.821,0.00067,158.6
33.0,0.5308,1.826,0.00067,158.9
33.1,0.5324,1.831,0.00067,159.4
33.2,0.5342,1.836,0.00067,159.8
33.3,0.5358,1.839,0.00068,160.1
33.4,0.5375,1.844,0.00068,160.6
33.5,0.5392,1.848,0.00068,160.9
33.6,0.5409,1.854,0.00068,161.4
33.7,0.5425,1.858,0.00068,161.7
33.8,0.5441,1.862,0.00068,162.1
33.9,0.5460,1.868,0.00068,162.6
34.0,0.5476,1.872,0.00069,163.0
34.1,0.5492,1.876,0.00069,163.3
34.2,0.5508,1.880,0.00069,163.7
34.3,0.5526,1.887,0.00069,164.2
34.4,0.5542,1.890,0.00069,164.6
34.5,0.5559,1.895,0.00069,165.0
34.6,0.5575,1.900,0.00070,165.4
34.7,0.5592,1.905,0.00069,165.8
34.8,0.5608,1.908,0.00070,166.1
34.9,0.5624,1.913,0.00070,166.5
35.0,0.5641,1.918,0.00070,167.0
35.1,0.5659,1.923,0.00070,167.4
35.2,0.5675,1.927,0.00071,167.8
35.3,0.5691,1.932,0.00070,168.2
35.4,0.5709,1.938,0.00071,168.7
35.5,0.5726,1.943,0.00071,169.2
35.6,0.5742,1.947,0.00071,169.5
35.7,0.5759,1.952,0.00072,169.9
35.8,0.5776,1.958,0.00072,170.4
35.9,0.5792,1.962,0.00072,170.8
36.0,0.5808,1.966,0.00072,171.2
36.1,0.5825,1.971,0.00072,171.6
36.2,0.5843,1.978,0.00073,172.2
36.3,0.5858,1.981,0.00073,172.5
36.4,0.5874,1.986,0.00073,172.9
36.5,0.5891,1.991,0.00073,173.3
36.6,0.5908,1.997,0.00073,173.8
36.7,0.5924,2.000,0.00074,174.1
36.8,0.5940,2.004,0.00074,174.4
36.9,0.5957,2.010,0.00074,175.0
37.0,0.5974,2.016,0.00074,175.5
37.1,0.5990,2.019,0.00074,175.8
37.2,0.6006,2.024,0.00074,176.2
37.3,0.6024,2.030,0.00075,176.7
37.4,0.6040,2.035,0.00075,177.2
37.5,0.6056,2.039,0.00075,177.5
37.6,0.6073,2.044,0.00075,177.9
37.7,0.6091,2.050,0.00075,178.5
37.8,0.6108,2.055,0.00075,178.9
37.9,0.6124,2.060,0.00075,179.3
38.0,0.6140,2.064,0.00076,179.7
38.1,0.6158,2.070,0.00076,180.2
38.2,0.6174,2.074,0.00076,180.6
38.3,0.6190,2.079,0.00076,181.0
38.4,0.6207,2.084,0.00077,181.4
38.5,0.6224,2.090,0.00077,182.0
38.6,0.6240,2.094,0.00077,182.3
38.7,0.6256,2.099,0.00077,182.7
38.8,0.6274,2.104,0.00077,183.2
38.9,0.6291,2.110,0.00078,183.7
39.0,0.6307,2.114,0.00078,184.0
39.1,0.6324,2.119,0.00078,184.5
39.2,0.6341,2.125,0.00078,185.0
39.3,0.6358,2.131,0.00078,185.5
39.4,0.6375,2.135,0.00079,185.9
39.5,0.6391,2.140,0.00079,186.3
39.6,0.6409,2.147,0.00079,186.9
39.7,0.6426,2.152,0.00079,187.3
39.8,0.6442,2.156,0.00080,187.7
39.9,0.6458,2.161,0.00079,188.2
40.0,0.6476,2.167,0.00080,188.6
40.1,0.6492,2.172,0.00080,189.1
40.2,0.6509,2.177,0.00081,189.5
40.3,0.6525,2.182,0.00081,189.9
40.4,0.6543,2.188,0.00080,190.5
40.5,0.6559,2.192,0.00081,190.9
40.6,0.6575,2.197,0.00081,191.3
40.7,0.6592,2.203,0.00082,191.8
40.8,0.6609,2.209,0.00082,192.3
40.9,0.6625,2.213,0.00082,192.7
41.0,0.6641,2.218,0.00081,193.1
41.1,0.6659,2.225,0.00082,193.7
41.2,0.6676,2.230,0.00082,194.1
41.3,0.6692,2.235,0.00082,194.5
41.4,0.6708,2.239,0.00083,195.0
41.5,0.6725,2.246,0.00083,195.6
41.6,0.6741,2.251,0.00083,196.0
41.7,0.6757,2.256,0.00083,196.4
41.8,0.6774,2.261,0.00084,196.9
41.9,0.6792,2.268,0.00084,197.4
42.0,0.6808,2.272,0.00084,197.8
42.1,0.6824,2.277,0.00084,198.2
42.2,0.6840,2.283,0.00084,198.8
42.3,0.6858,2.289,0.00084,199.3
42.4,0.6874,2.294,0.00084,199.7
42.5,0.6890,2.299,0.00085,200.1
42.6,0.6908,2.305,0.00085,200.6
42.7,0.6924,2.310,0.00085,201.1
42.8,0.6940,2.315,0.00085,201.6
42.9,0.6956,2.320,0.00085,202.0
43.0,0.6974,2.327,0.00086,202.5
43.1,0.6991,2.332,0.00086,203.0
43.2,0.7007,2.337,0.00086,203.5
43.3,0.7024,2.342,0.00087,203.9
43.4,0.7042,2.349,0.00087,204.5
43.5,0.7057,2.354,0.00086,204.9
43.6,0.7074,2.359,0.00087,205.3
43.7,0.7092,2.364,0.00087,205.8
43.8,0.7109,2.371,0.00087,206.4
43.9,0.7125,2.375,0.00088,206.8
44.0,0.7141,2.379,0.00088,207.1
44.1,0.7158,2.386,0.00088,207.7
44.2,0.7176,2.391,0.00088,208.2
44.3,0.7192,2.396,0.00088,208.6
44.4,0.7208,2.400,0.00089,209.0
44.5,0.7225,2.406,0.00089,209.5
44.6,0.7242,2.412,0.00089,210.0
44.7,0.7257,2.416,0.00090,210.4
44.8,0.7274,2.422,0.00089,210.8
44.9,0.7292,2.429,0.00090,211.4
45.0,0.7308,2.434,0.00090,211.9
45.1,0.7324,2.438,0.00090,212.3
45.2,0.7341,2.444,0.00090,212.8
45.3,0.7359,2.450,0.00090,213.3
45.4,0.7375,2.455,0.00091,213.7
45.5,0.7391,2.459,0.00091,214.1
45.6,0.7408,2.465,0.00091,214.6
45.7,0.7425,2.473,0.00092,215.3
45.8,0.7441,2.476,0.00091,215.6
45.9,0.7457,2.481,0.00092,216.0
46.0,0.7475,2.488,0.00092,216.6
46.1,0.7492,2.494,0.00092,217.1
46.2,0.7508,2.499,0.00093,217.5
46.3,0.7524,2.505,0.00093,218.0
46.4,0.7541,2.511,0.00093,218.6
46.5,0.7558,2.516,0.00093,219.1
46.6,0.7574,2.521,0.00093,219.5
46.7,0.7589,2.527,0.00093,220.0
46.8,0.7608,2.533,0.00094,220.6
46.9,0.7624,2.539,0.00094,221.0
47.0,0.7640,2.543,0.00094,221.4
47.1,0.7656,2.548,0.00094,221.8
47.2,0.7673,2.556,0.00094,222.5
47.3,0.7690,2.561,0.00095,223.0
47.4,0.7707,2.566,0.00095,223.4
47.5,0.7724,2.572,0.00095,223.9
47.6,0.7741,2.578,0.00095,224.5
47.7,0.7757,2.583,0.00096,224.9
47.8,0.7773,2.588,0.00096,225.3
47.9,0.7791,2.595,0.00096,225.9
48.0,0.7808,2.600,0.00097,226.4
48.1,0.7824,2.605,0.00097,226.8
48.2,0.7840,2.611,0.00096,227.3
48.3,0.7857,2.617,0.00097,227.8
48.4,0.7874,2.623,0.00097,228.3
48.5,0.7890,2.628,0.00097,228.7
48.6,0.7907,2.633,0.00098,229.2
48.7,0.7924,2.640,0.00098,229.8
48.8,0.7940,2.645,0.00098,230.3
48.9,0.7957,2.650,0.00098,230.7
49.0,0.7973,2.656,0.00099,231.2
49.1,0.7991,2.662,0.00099,231.7
49.2,0.8007,2.667,0.00099,232.2
49.3,0.8023,2.673,0.00099,232.7
49.4,0.8040,2.678,0.00099,233.2
49.5,0.8057,2.685,0.00100,233.8
49.6,0.8073,2.690,0.00100,234.2
49.7,0.8089,2.696,0.00100,234.7
49.8,0.8107,2.702,0.00100,235.2
49.9,0.8124,2.708,0.00101,235.8
50.0,0.8140,2.713,0.00100,236.2
50.1,0.8156,2.718,0.00100,236.7
50.2,0.8175,2.726,0.00101,237.3
50.3,0.8191,2.732,0.00101,237.8
50.4,0.8208,2.737,0.00102,238.2
50.5,0.8224,2.742,0.00101,238.7
50.6,0.8241,2.749,0.00102,239.4
50.7,0.8257,2.754,0.00102,239.8
50.8,0.8274,2.760,0.00102,240.2
50.9,0.8291,2.766,0.00103,240.8
51.0,0.8308,2.772,0.00103,241.4
51.1,0.8324,2.777,0.00103,241.7
51.2,0.8341,2.782,0.00103,242.2
51.3,0.8358,2.789,0.00104,242.8
51.4,0.8376,2.796,0.00103,243.4
51.5,0.8392,2.801,0.00103,243.8
51.6,0.8408,2.806,0.00104,244.3
51.7,0.8426,2.814,0.00104,245.0
51.8,0.8442,2.819,0.00105,245.4
51.9,0.8458,2.824,0.00105,245.9
52.0,0.8474,2.829,0.00105,246.3
52.1,0.8491,2.837,0.00105,247.0
52.2,0.8507,2.842,0.00105,247.4
52.3,0.8522,2.847,0.00105,247.8
52.4,0.8539,2.853,0.00106,248.4
52.5,0.8556,2.860,0.00106,249.0
52.6,0.8572,2.865,0.00106,249.4
52.7,0.8588,2.870,0.00106,249.9
52.8,0.8604,2.877,0.00106,250.5
52.9,0.8623,2.885,0.00107,251.1
53.0,0.8638,2.889,0.00108,251.5
53.1,0.8655,2.894,0.00108,252.0
53.2,0.8672,2.902,0.00108,252.6
53.3,0.8689,2.907,0.00109,253.1
53.4,0.8705,2.913,0.00108,253.6
53.5,0.8722,2.918,0.00109,254.1
53.6,0.8740,2.926,0.00108,254.7
53.7,0.8756,2.932,0.00109,255.2
53.8,0.8772,2.937,0.00110,255.7
53.9,0.8789,2.942,0.00109,256.1
54.0,0.8807,2.950,0.00110,256.9
54.1,0.8824,2.956,0.00110,257.3
54.2,0.8840,2.961,0.00110,257.8
54.3,0.8856,2.966,0.00111,258.2
54.4,0.8874,2.974,0.00111,258.9
54.5,0.8890,2.979,0.00111,259.4
54.6,0.8906,2.985,0.00112,259.9
54.7,0.8924,2.991,0.00111,260.4
54.8,0.8940,2.998,0.00112,261.0
54.9,0.8956,3.003,0.00112,261.4
55.0,0.8972,3.009,0.00112,261.9
55.1,0.8990,3.016,0.00112,262.6
55.2,0.9007,3.023,0.00113,263.2
55.3,0.9023,3.028,0.00113,263.6
55.4,0.9039,3.034,0.00113,264.1
55.5,0.9056,3.042,0.00113,264.8
55.6,0.9073,3.047,0.00113,265.3
55.7,0.9089,3.053,0.00114,265.8
55.8,0.9105,3.059,0.00114,266.3
55.9,0.9122,3.067,0.00115,267.0
56.0,0.9139,3.072,0.00115,267.5
56.1,0.9155,3.078,0.00115,268.0
56.2,0.9171,3.084,0.00115,268.5
56.3,0.9188,3.091,0.00115,269.1
56.4,0.9204,3.097,0.00116,269.6
56.5,0.9220,3.103,0.00116,270.2
56.6,0.9237,3.109,0.00116,270.7
56.7,0.9255,3.116,0.00117,271.3
56.8,0.9270,3.121,0.00117,271.7
56.9,0.9287,3.128,0.00117,272.3
57.0,0.9304,3.134,0.00117,272.9
57.1,0.9321,3.141,0.00117,273.5
57.2,0.9337,3.147,0.00117,274.0
57.3,0.9353,3.153,0.00118,274.5
57.4,0.9372,3.161,0.00118,275.2
57.5,0.9388,3.167,0.00118,275.7
57.6,0.9404,3.172,0.00118,276.2
57.7,0.9420,3.179,0.00119,276.8
57.8,0.9437,3.187,0.00119,277.4
57.9,0.9453,3.192,0.00119,277.9
58.0,0.9471,3.199,0.00119,278.5
58.1,0.9487,3.204,0.00120,279.0
58.2,0.9504,3.212,0.00120,279.6
58.3,0.9520,3.217,0.00120,280.0
58.4,0.9536,3.223,0.00121,280.6
58.5,0.9553,3.230,0.00121,281.2
58.6,0.9571,3.237,0.00121,281.8
58.7,0.9587,3.242,0.00121,282.3
58.8,0.9603,3.249,0.00121,282.8
58.9,0.9620,3.256,0.00122,283.5
59.0,0.9637,3.263,0.00122,284.0
59.1,0.9653,3.269,0.00122,284.6
59.2,0.9669,3.275,0.00122,285.1
59.3,0.9688,3.283,0.00123,285.8
59.4,0.9704,3.289,0.00123,286.3
59.5,0.9720,3.295,0.00123,286.9
59.6,0.9737,3.302,0.00124,287.5
59.7,0.9755,3.310,0.00124,288.1
59.8,0.9771,3.315,0.00124,288.6
59.9,0.9787,3.321,0.00124,289.1
60.0,0.9804,3.328,0.00124,289.7
60.1,0.9821,3.336,0.00125,290.5
60.2,0.9837,3.341,0.00125,290.9
60.3,0.9853,3.347,0.00125,291.4
60.4,0.9871,3.354,0.00126,292.0
60.5,0.9888,3.362,0.00126,292.7
60.6,0.9904,3.367,0.00126,293.2
60.7,0.9920,3.374,0.00126,293.7
60.8,0.9938,3.382,0.00127,294.5
60.9,0.9955,3.388,0.00127,295.0
61.0,0.9971,3.395,0.00127,295.6
61.1,0.9988,3.400,0.00128,296.0
61.2,1.0005,3.409,0.00128,296.8
61.3,1.0021,3.415,0.00128,297.3
61.4,1.0037,3.422,0.00128,297.9
61.5,1.0054,3.428,0.00129,298.4
61.6,1.0072,3.436,0.00129,299.1
61.7,1.0088,3.441,0.00129,299.6
61.8,1.0104,3.447,0.00129,300.1
61.9,1.0122,3.454,0.00129,300.7
62.0,1.0139,3.462,0.00130,301.4
62.1,1.0155,3.467,0.00130,301.9
62.2,1.0172,3.474,0.00130,302.4
62.3,1.0189,3.482,0.00130,303.1
62.4,1.0205,3.488,0.00130,303.7
62.5,1.0221,3.495,0.00131,304.2
62.6,1.0237,3.501,0.00131,304.7
62.7,1.0256,3.509,0.00131,305.5
62.8,1.0272,3.516,0.00131,306.1
62.9,1.0288,3.521,0.00132,306.6
63.0,1.0304,3.528,0.00132,307.1
63.1,1.0322,3.536,0.00133,307.8
63.2,1.0339,3.542,0.00133,308.4
63.3,1.0356,3.549,0.00133,308.9
63.4,1.0372,3.555,0.00133,309.5
63.5,1.0389,3.563,0.00134,310.2
63.6,1.0405,3.570,0.00134,310.8
63.7,1.0422,3.576,0.00134,311.3
63.8,1.0440,3.583,0.00134,312.0
63.9,1.0456,3.591,0.00134,312.6
64.0,1.0472,3.597,0.00135,313.1
64.1,1.0488,3.603,0.00136,313.7
64.2,1.0505,3.612,0.00135,314.4
64.3,1.0522,3.618,0.00136,315.0
