Time(s),Crosshead(mm),Load(kN),Extensometer(mm/mm),Stress(MPa)
1.2,0.0015,0.227,0.00000,19.7
1.3,0.0030,0.243,0.00001,21.1
1.4,0.0046,0.260,0.00002,22.7
1.5,0.0061,0.278,0.00002,24.2
1.6,0.0079,0.296,0.00003,25.7
1.7,0.0096,0.313,0.00004,27.2
1.8,0.0112,0.327,0.00005,28.5
1.9,0.0128,0.341,0.00005,29.7
2.0,0.0145,0.356,0.00006,31.0
2.1,0.0161,0.369,0.00006,32.1
2.2,0.0177,0.381,0.00007,33.1
2.3,0.0194,0.392,0.00008,34.1
2.4,0.0212,0.404,0.00008,35.2
2.5,0.0227,0.414,0.00008,36.1
2.6,0.0244,0.424,0.00009,36.9
2.7,0.0260,0.434,0.00009,37.8
2.8,0.0277,0.445,0.00010,38.7
2.9,0.0293,0.453,0.00010,39.4
3.0,0.0309,0.462,0.00011,40.2
3.1,0.0326,0.471,0.00011,41.0
3.2,0.0344,0.480,0.00011,41.8
3.3,0.0360,0.488,0.00012,42.5
3.4,0.0376,0.496,0.00012,43.2
3.5,0.0394,0.505,0.00013,43.9
3.6,0.0412,0.513,0.00013,44.7
3.7,0.0428,0.521,0.00013,45.3
3.8,0.0444,0.528,0.00013,46.0
3.9,0.0463,0.536,0.00014,46.7
4.0,0.0479,0.543,0.00014,47.3
4.1,0.0495,0.551,0.00014,48.0
4.2,0.0512,0.560,0.00015,48.8
4.3,0.0529,0.570,0.00015,49.7
4.4,0.0545,0.578,0.00016,50.3
4.5,0.0561,0.586,0.00017,51.0
4.6,0.0579,0.595,0.00017,51.8
4.7,0.0596,0.605,0.00016,52.7
4.8,0.0612,0.614,0.00017,53.4
4.9,0.0628,0.622,0.00017,54.2
5.0,0.0646,0.632,0.00018,55.0
5.1,0.0663,0.641,0.00019,55.8
5.2,0.0679,0.650,0.00019,56.6
5.3,0.0695,0.658,0.00019,57.3
5.4,0.0712,0.668,0.00019,58.2
5.5,0.0728,0.676,0.00020,58.8
5.6,0.0744,0.685,0.00020,59.6
5.7,0.0761,0.694,0.00021,60.4
5.8,0.0779,0.703,0.00021,61.2
5.9,0.0795,0.712,0.00021,61.9
6.0,0.0811,0.719,0.00022,62.6
6.1,0.0828,0.728,0.00022,63.4
6.2,0.0845,0.738,0.00022,64.2
6.3,0.0861,0.746,0.00023,65.0
6.4,0.0877,0.753,0.00023,65.6
6.5,0.0895,0.762,0.00024,66.4
6.6,0.0912,0.771,0.00024,67.1
6.7,0.0928,0.778,0.00025,67.7
6.8,0.0944,0.786,0.00025,68.4
6.9,0.0961,0.794,0.00026,69.1
7.0,0.0978,0.802,0.00026,69.8
7.1,0.0994,0.809,0.00026,70.4
7.2,0.1011,0.816,0.00026,71.1
7.3,0.1028,0.824,0.00027,71.8
7.4,0.1045,0.831,0.00027,72.3
7.5,0.1061,0.839,0.00028,73.0
7.6,0.1077,0.845,0.00028,73.6
7.7,0.1096,0.853,0.00028,74.3
7.8,0.1112,0.860,0.00028,74.8
7.9,0.1128,0.866,0.00029,75.4
8.0,0.1145,0.872,0.00029,75.9
8.1,0.1162,0.879,0.00029,76.5
8.2,0.1178,0.885,0.00030,77.1
8.3,0.1195,0.892,0.00030,77.6
8.4,0.1212,0.898,0.00030,78.2
8.5,0.1229,0.905,0.00030,78.8
8.6,0.1245,0.911,0.00030,79.3
8.7,0.1261,0.917,0.00030,79.8
8.8,0.1279,0.924,0.00031,80.4
8.9,0.1296,0.930,0.00032,81.0
9.0,0.1311,0.935,0.00031,81.4
9.1,0.1328,0.940,0.00032,81.8
9.2,0.1345,0.946,0.00031,82.4
9.3,0.1361,0.951,0.00033,82.8
9.4,0.1377,0.955,0.00032,83.2
9.5,0.1393,0.961,0.00033,83.6
9.6,0.1411,0.967,0.00033,84.2
9.7,0.1428,0.972,0.00033,84.6
9.8,0.1444,0.976,0.00033,85.0
9.9,0.1460,0.981,0.00033,85.4
10.0,0.1477,0.987,0.00034,86.0
10.1,0.1494,0.991,0.00034,86.3
10.2,0.1510,0.996,0.00034,86.7
10.3,0.1527,1.002,0.00034,87.2
10.4,0.1544,1.007,0.00034,87.6
10.5,0.1560,1.011,0.00035,88.0
10.6,0.1576,1.016,0.00035,88.4
10.7,0.1593,1.021,0.00035,88.9
10.8,0.1610,1.027,0.00036,89.4
10.9,0.1626,1.031,0.00036,89.8
11.0,0.1642,1.036,0.00036,90.2
11.1,0.1660,1.041,0.00036,90.7
11.2,0.1676,1.047,0.00036,91.1
11.3,0.1693,1.051,0.00037,91.5
11.4,0.1709,1.056,0.00036,91.9
11.5,0.1727,1.062,0.00037,92.5
11.6,0.1743,1.065,0.00037,92.7
11.7,0.1759,1.070,0.00038,93.2
11.8,0.1776,1.075,0.00038,93.6
11.9,0.1794,1.081,0.00038,94.1
12.0,0.1810,1.084,0.00038,94.4
12.1,0.1826,1.089,0.00038,94.8
12.2,0.1844,1.094,0.00039,95.2
12.3,0.1861,1.099,0.00039,95.7
12.4,0.1877,1.103,0.00039,96.0
12.5,0.1893,1.106,0.00039,96.3
12.6,0.1911,1.112,0.00039,96.8
12.7,0.1928,1.116,0.00039,97.2
12.8,0.1944,1.121,0.00039,97.6
12.9,0.1960,1.125,0.00040,97.9
13.0,0.1978,1.130,0.00039,98.4
13.1,0.1995,1.134,0.00040,98.8
13.2,0.2011,1.138,0.00040,99.1
13.3,0.2028,1.142,0.00041,99.4
13.4,0.2045,1.147,0.00040,99.9
13.5,0.2061,1.152,0.00041,100.3
13.6,0.2077,1.156,0.00041,100.6
13.7,0.2095,1.161,0.00042,101.1
13.8,0.2112,1.167,0.00041,101.6
13.9,0.2128,1.171,0.00042,101.9
14.0,0.2145,1.174,0.00042,102.2
14.1,0.2162,1.180,0.00042,102.7
14.2,0.2179,1.185,0.00043,103.2
14.3,0.2195,1.189,0.00042,103.5
14.4,0.2211,1.193,0.00043,103.9
14.5,0.2228,1.199,0.00043,104.4
14.6,0.2244,1.204,0.00043,104.8
14.7,0.2260,1.208,0.00044,105.1
14.8,0.2276,1.213,0.00043,105.6
14.9,0.2293,1.220,0.00044,106.2
15.0,0.2309,1.225,0.00044,106.6
15.1,0.2325,1.229,0.00044,107.0
15.2,0.2342,1.235,0.00045,107.5
15.3,0.2360,1.241,0.00045,108.0
15.4,0.2376,1.246,0.00045,108.5
15.5,0.2392,1.250,0.00045,108.9
15.6,0.2408,1.256,0.00045,109.4
15.7,0.2425,1.263,0.00045,109.9
15.8,0.2442,1.267,0.00046,110.3
15.9,0.2458,1.272,0.00046,110.7
16.0,0.2474,1.277,0.00046,111.2
16.1,0.2492,1.283,0.00046,111.7
16.2,0.2508,1.288,0.00047,112.1
16.3,0.2525,1.293,0.00046,112.5
16.4,0.2542,1.297,0.00047,112.9
